"縣市","統計期","業者名稱","類別","基地臺"
"雲林縣","1130229","遠傳電信股份有限公司                                                            ","4G","915"
"新北市","1130229","中華電信股份有限公司                                                            ","4G","3278"
"新北市","1130229","台灣大哥大股份有限公司                                                          ","4G","4014"
"新北市","1130229","遠傳電信股份有限公司                                                            ","4G","3661"
"新竹市","1130229","中華電信股份有限公司                                                            ","4G","649"
"新竹市","1130229","台灣大哥大股份有限公司                                                          ","4G","425"
"新竹市","1130229","遠傳電信股份有限公司                                                            ","4G","690"
"新竹縣","1130229","中華電信股份有限公司                                                            ","4G","1147"
"新竹縣","1130229","台灣大哥大股份有限公司                                                          ","4G","736"
"新竹縣","1130229","遠傳電信股份有限公司                                                            ","4G","958"
"嘉義市","1130229","中華電信股份有限公司                                                            ","4G","355"
"嘉義市","1130229","台灣大哥大股份有限公司                                                          ","4G","349"
"嘉義市","1130229","遠傳電信股份有限公司                                                            ","4G","331"
"嘉義縣","1130229","中華電信股份有限公司                                                            ","4G","1077"
"嘉義縣","1130229","台灣大哥大股份有限公司                                                          ","4G","858"
"嘉義縣","1130229","遠傳電信股份有限公司                                                            ","4G","847"
"彰化縣","1130229","中華電信股份有限公司                                                            ","4G","1881"
"彰化縣","1130229","台灣大哥大股份有限公司                                                          ","4G","1607"
"彰化縣","1130229","遠傳電信股份有限公司                                                            ","4G","1500"
"臺中市","1130229","中華電信股份有限公司                                                            ","4G","4789"
"臺中市","1130229","台灣大哥大股份有限公司                                                          ","4G","4810"
"臺中市","1130229","遠傳電信股份有限公司                                                            ","4G","4553"
"臺北市","1130229","中華電信股份有限公司                                                            ","4G","3157"
"臺北市","1130229","台灣大哥大股份有限公司                                                          ","4G","3609"
"臺北市","1130229","遠傳電信股份有限公司                                                            ","4G","3904"
"臺東縣","1130229","中華電信股份有限公司                                                            ","4G","675"
"臺東縣","1130229","台灣大哥大股份有限公司                                                          ","4G","626"
"臺東縣","1130229","遠傳電信股份有限公司                                                            ","4G","572"
"臺南市","1130229","中華電信股份有限公司                                                            ","4G","2408"
"臺南市","1130229","台灣大哥大股份有限公司                                                          ","4G","2600"
"臺南市","1130229","遠傳電信股份有限公司                                                            ","4G","2384"
"澎湖縣","1130229","中華電信股份有限公司                                                            ","4G","211"
